"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"39","Caleb Shudak (TEN)","3","4","75.0","38","0","1","2","0","0","1","1","1","10.0","10.0","0.2%"
"40","Tristan Vizcaino (DAL)","2","2","100.0","46","0","0","1","1","0","3","3","3","10.0","3.3","6.9%"
"41","Nick Sciba (FA)","2","2","100.0","38","0","1","1","0","0","1","1","1","7.0","7.0","0.1%"
"42","Dominik Eberle (FA)","1","1","100.0","49","0","0","0","1","0","2","4","1","6.0","6.0","0.0%"
"43","Josh Lambo (FA)","0","0","0","0","0","0","0","0","0","3","4","1","3.0","3.0","0.1%"
"44","Ramiz Ahmed (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"45","Elliott Fry (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"46","Zane Gonzalez (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4%"
"47","James McCourt (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"48","Parker Romo (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"49","Jake Moody (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.4%"
"50","Matthew Trickett (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","Trey Wolff (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","Andre Szmyt (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","Tanner Brown (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"54","B.T. Potter (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"55","Blake Grupe (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"56","Lucas Havrisik (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"57","Anders Carlson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"58","Chad Ryland (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"59","Jack Podlesny (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Quinn Nordin (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"61","Steven Weatherford (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Piotr Czech (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Zac Derr (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Ricky Schmit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Parker Douglass (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Jason Reda (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Garrett Rivas (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","Carlos Martinez (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Andrew Wellock (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Mark Hickok (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
