"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"210","Jonathan Harris (DEN)","13","7","0","0","0","0","0","0","6","29.9","5.0","1.7%"
"211","Justin Ellis (FA)","5","17","1","0","0","0","0","0","15","29.8","2.0","0.0%"
"212","Derrick Nnadi (KC)","11","14","0","0","0","0","0","0","16","29.8","1.9","1.3%"
"213","Deadrin Senat (TB)","10","7","1","0","0","0","0","0","7","29.4","4.2","4.2%"
"214","Devonte Wyatt (GB)","8","7","1.5","1","0","1","0","0","13","29.0","2.2","2.7%"
"215","Marlon Tuipulotu (PHI)","8","8","1","0","0","0","1","0","9","28.8","3.2","0.1%"
"216","Angelo Blackson (BAL)","10","12","0","1","0","0","0","0","12","28.4","2.4","0.3%"
"217","Mario Addison (FA)","6","9","1","1","0","1","0","0","12","28.0","2.3","4.0%"
"218","Henry Anderson (CAR)","9","9","0","0","0","0","0","0","9","28.0","3.1","0.4%"
"219","Jonah Williams (LAR)","11","12","0.5","0","0","0","0","0","9","27.7","3.1","0.6%"
"220","Jaleel Johnson (TEN)","11","4","1","0","0","0","1","0","7","27.6","3.9","0.1%"
"221","Breiden Fehoko (PIT)","10","13","0","0","0","0","0","0","7","27.5","3.9","1.7%"
"222","Benito Jones (DET)","8","8","1.5","2","0","0","0","0","11","27.2","2.5","0.7%"
"223","Chris Rumph II (LAC)","6","4","2","1","0","0","0","0","13","26.6","2.0","1.1%"
"224","Nik Bonitto (FA)","5","8","1.5","0","0","1","0","0","12","26.4","2.2","0.8%"
"225","James Lynch (MIN)","11","9","0","0","0","0","0","0","14","26.1","1.9","17.7%"
"226","Naquan Jones (TEN)","6","10","1","0","0","0","0","0","7","25.8","3.7","0.3%"
"227","Thomas Booker IV (HOU)","11","4","0.5","1","0","0","0","0","10","25.6","2.6","5.6%"
"228","Bravvion Roy (CAR)","4","13","0","3","1","0","0","0","9","25.5","2.8","0.4%"
"229","Rashard Lawrence (ARI)","8","2","0","0","0","1","0","0","4","25.1","6.3","0.6%"
"230","Johnathan Hankins (DAL)","8","12","0","1","0","0","0","0","9","25.1","2.8","0.7%"
"231","Larrell Murchison (LAR)","6","3","2","0","0","0","0","0","6","24.4","4.1","0.1%"
