"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"226","P.J. Williams (FA)","17","9","0","2","0","0","0","0","9","35.4","3.9","0.1%"
"227","Daniel Sorensen (FA)","10","7","0","3","2","0","0","0","10","34.8","3.5","0.1%"
"228","Eric Stokes (GB)","20","5","0","0","0","0","0","0","10","34.0","3.4","1.7%"
"229","Jace Whittaker (FA)","15","9","0","3","0","0","0","0","6","33.8","5.6","0.7%"
"230","Ronnie Harrison Jr. (FA)","17","6","0.5","1","0","0","0","0","14","33.7","2.4","0.0%"
"231","Jaquan Johnson (LV)","11","14","0","1","1","0","0","0","11","33.6","3.1","0.1%"
"232","Casey Hayward Jr. (FA)","14","3","0","3","1","0","0","0","6","32.8","5.5","0.8%"
"233","Damarion Williams (BAL)","14","8","0","2","0","0","0","0","10","32.7","3.3","2.8%"
"234","Tre Norwood (PIT)","16","4","0","0","0","0","0","0","10","32.1","3.2","0.9%"
"235","Justin Bethel (MIA)","11","5","0","4","1","0","0","0","11","31.5","2.9","0.0%"
"236","Elijah Hicks (CHI)","10","11","0","0","0","1","1","0","9","31.4","3.5","0.5%"
"237","David Long Jr. (LV)","18","3","0","1","0","0","0","0","8","30.9","3.9","0.7%"
"238","Rodarius Williams (NYG)","15","0","0","2","1","0","0","0","4","30.5","7.6","0.6%"
"239","Nik Needham (MIA)","15","6","0","2","0","0","0","0","6","30.2","5.0","1.7%"
"240","JuJu Hughes (ARI)","12","4","1","0","0","0","0","0","5","30.1","6.0","0.1%"
"241","Tracy Walker III (DET)","10","8","1","1","0","0","0","0","4","29.1","7.3","6.1%"
"242","Ezekiel Turner (ARI)","9","5","0","0","0","1","0","0","10","28.9","2.9","1.1%"
"243","William Jackson III (FA)","15","1","0","2","0","0","0","0","4","28.8","7.2","0.0%"
"244","Isaiah Pola-Mao (LV)","11","4","1","0","0","0","0","0","7","28.6","4.1","0.1%"
"245","Ronald Darby (FA)","12","2","0","3","0","1","0","0","6","28.1","4.7","0.0%"
"246","Tony Jefferson II (FA)","14","6","0","1","0","0","0","0","9","27.1","3.0","0.0%"
"247","Christian Matthew (ARI)","11","7","0","3","0","0","0","0","10","26.4","2.6","1.2%"
"248","Verone McKinley III (MIA)","10","6","0","1","1","0","0","0","10","26.0","2.6","0.4%"
"249","Trayvon Mullen Jr. (BAL)","12","3","0","1","0","1","0","0","7","25.8","3.7","0.8%"
"250","Juston Burris (FA)","12","8","0","1","0","0","0","0","5","25.6","5.1","0.0%"
"251","Rachad Wildgoose (WAS)","12","4","0","3","0","0","0","0","8","25.6","3.2","1.2%"
"252","Israel Mukuamu (DAL)","10","5","0","1","1","0","0","0","12","25.4","2.1","0.5%"
"253","Kelvin Joseph (DAL)","11","2","0","2","0","1","0","0","12","25.1","2.1","0.8%"
"254","Zyon McCollum (TB)","13","5","0","1","0","0","0","0","12","24.9","2.1","0.8%"
"255","A.J. Green (CLE)","11","2","0","1","1","0","0","0","10","24.6","2.5","1.1%"
"256","Russ Yeast (LAR)","13","3","0","0","0","0","0","0","11","24.3","2.2","2.6%"
"257","Will Parks (FA)","9","6","0","0","0","0","0","0","11","24.1","2.2","0.5%"
"258","Ifeatu Melifonwu (DET)","9","4","0.5","2","0","0","0","0","4","24.0","6.0","0.1%"
"259","Chris Board (NE)","12","0","0","1","0","1","0","0","14","23.5","1.7","0.5%"
"260","P.J. Locke (DEN)","6","3","0","1","0","1","1","0","12","23.4","2.0","0.4%"
"261","J.C. Jackson (LAC)","12","3","0","2","0","0","0","0","5","23.3","4.7","5.0%"
"262","Noah Igbinoghene (MIA)","8","2","0","3","1","0","0","0","8","23.1","2.9","1.2%"
"263","Jeremy Reaves (WAS)","10","7","0","1","0","0","0","0","14","21.9","1.6","0.3%"
"264","Harrison Hand (FA)","9","3","0","1","0","1","0","0","2","21.3","10.7","0.0%"
"265","Ja'Sir Taylor (LAC)","10","6","0","1","0","0","0","0","12","21.1","1.8","1.2%"
"266","Eric Murray (HOU)","11","6","0","0","0","0","0","0","11","21.1","1.9","0.4%"
"267","Jamien Sherwood (NYJ)","9","3","0.5","0","0","0","0","0","8","20.4","2.6","3.4%"
"268","Anthony Averett (FA)","12","1","0","1","0","0","0","0","6","20.3","3.4","0.0%"
"269","Zyon Gilbert (NYG)","7","3","1","0","0","0","0","0","3","19.4","6.5","0.1%"
"270","Essang Bassey (DEN)","7","4","0","2","0","0","0","0","9","19.1","2.1","0.7%"
