"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"194","J.J. Russell (TB)","1","3","0","0","0","0","0","0","3","3.8","1.3","0.4%"
"195","Joe Jones (FA)","2","0","0","0","0","0","0","0","12","3.0","0.3","0.1%"
"196","Amen Ogbongbemiga (LAC)","1","2","0","0","0","0","0","0","4","3.0","0.8","1.1%"
"197","Daniel Hardy (LAR)","0","3","0","0","0","0","0","0","5","2.4","0.5","0.4%"
"198","Alexander Johnson (FA)","0","3","0","0","0","0","0","0","1","2.3","2.3","0.7%"
"199","Christian Jones (FA)","1","1","0","0","0","0","0","0","2","2.3","1.2","0.0%"
"200","Channing Tindall (MIA)","0","2","0","0","0","0","0","0","3","1.6","0.5","1.9%"
"201","Kristian Welch (BAL)","1","0","0","0","0","0","0","0","4","1.5","0.4","0.4%"
"202","Christian Rozeboom (LAR)","1","0","0","0","0","0","0","0","7","1.5","0.2","3.9%"
"203","Shaun Bradley (PHI)","1","0","0","0","0","0","0","0","6","1.5","0.3","1.6%"
"204","Ryan Connelly (NO)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.9%"
"205","Carter Coughlin (NYG)","0","1","0","0","0","0","0","0","8","0.8","0.1","0.3%"
"206","Kyron Johnson (PHI)","0","1","0","0","0","0","0","0","8","0.8","0.1","0.0%"
"207","Nick Bellore (SEA)","0","1","0","0","0","0","0","0","12","0.8","0.1","37.0%"
"208","DeMarquis Gates (CHI)","0","1","0","0","0","0","0","0","1","0.8","0.8","0.3%"
"209","Nate Landman (ATL)","0","1","0","0","0","0","0","0","2","0.8","0.4","0.8%"
"210","Takk McKinley (FA)","0","1","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"211","LaCale London (ATL)","0","0","0","0","0","0","0","0","0","0","0","3.9%"
"212","Cole Christiansen (KC)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"213","Rashod Berry (IND)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Clay Johnston (FA)","0","0","0","0","0","0","0","0","8","0.0","0.0","0.3%"
"215","Blake Ferguson (MIA)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"216","Davion Taylor (PHI)","0","0","0","0","0","0","0","0","0","0","0","2.9%"
"217","Cam Gill (TB)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"218","Derrek Tuszka (FA)","7","6","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"219","Chapelle Russell (PIT)","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"220","Carlo Kemp (GB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Jamir Jones (FA)","3","4","0","1","0","0","0","0","10","0.0","0.0","0.0%"
"222","Ray Wilborn (DEN)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"223","Liam McCullough (ATL)","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"224","Ross Matiscik (JAC)","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"225","Ben Burr-Kirven (FA)","0","0","0","0","0","0","0","0","4","0.0","0.0","0.3%"
"226","Jachai Polite (LAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Josh Allen (JAC)","35","22","6","2","0","4","2","1","17","0.0","0.0","28.5%"
"228","Josh Woods (ARI)","0","0","0","0","0","0","0","0","11","0.0","0.0","0.4%"
"229","Wyatt Ray (FA)","2","1","0","0","0","0","0","0","3","0.0","0.0","0.1%"
"230","Ty Summers (NO)","0","0","0","0","0","0","0","0","4","0.0","0.0","0.4%"
"231","Dakota Allen (FA)","0","0","0","0","0","0","0","0","3","0.0","0.0","0.3%"
