"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"160","Freddie Swain (MIA)","4","6","74","18.5","52","4","0","0","0","0","0","3","7.4","2.5","0.0%"
"161","Kevin White (FA)","2","5","74","37.0","64","4","0","0","0","0","0","6","7.4","1.2","0.0%"
"162","Gunner Olszewski (PIT)","5","7","53","10.6","31","2","0","8","39","0","1","15","7.2","0.5","0.1%"
"163","Dee Eskridge (SEA)","7","13","58","8.3","16","0","0","2","10","0","0","9","6.8","0.8","0.2%"
"164","Jalen Guyton (LAC)","2","4","64","32.0","54","4","0","0","0","0","0","2","6.4","3.2","0.1%"
"165","Jake Kumerow (FA)","4","7","64","16.0","39","2","0","0","0","0","0","5","6.4","1.3","0.0%"
"166","Jamison Crowder (NYG)","6","13","60","10.0","16","0","0","0","0","0","0","4","6.0","1.5","0.2%"
"167","Mike Strachan (IND)","3","9","59","19.7","23","2","0","0","0","0","0","6","5.9","1.0","0.0%"
"168","Mike Thomas (BAL)","2","10","38","19.0","33","2","0","0","0","0","0","5","5.8","1.2","0.0%"
"169","Deven Thompkins (TB)","5","10","32","6.4","13","0","0","2","26","0","0","5","5.8","1.2","0.1%"
"170","Trent Taylor (CIN)","6","10","62","10.3","34","2","0","4","15","0","1","16","5.7","0.4","0.1%"
"171","Cody Hollister (FA)","3","5","54","18.0","27","2","0","0","0","0","0","6","5.4","0.9","0.0%"
"172","James Proche II (BAL)","8","17","62","7.8","12","0","0","0","0","0","0","12","5.2","0.4","0.1%"
"173","Chris Conley (SF)","4","7","46","11.5","27","1","0","0","0","0","0","4","4.6","1.2","0.1%"
"174","Andre Baccellia (ARI)","7","10","45","6.4","11","0","0","0","0","0","0","5","4.5","0.9","0.0%"
"175","Racey McMath (TEN)","2","8","40","20.0","39","2","0","1","4","0","0","4","4.4","1.1","0.1%"
"176","Laquon Treadwell (BAL)","6","10","42","7.0","17","0","0","0","0","0","0","3","4.2","1.4","0.1%"
"177","Michael Woods II (CLE)","5","10","45","9.0","15","0","0","1","-5","0","0","8","4.0","0.5","0.0%"
"178","Kyle Philips (TEN)","8","13","78","9.8","21","2","0","0","0","0","2","4","3.8","1.0","0.8%"
"179","Cole Beasley (NYG)","6","8","35","5.8","9","0","0","0","0","0","0","5","3.5","0.7","0.0%"
"180","Tylan Wallace (BAL)","4","7","33","8.3","12","0","0","0","0","0","0","6","3.3","0.6","0.1%"
"181","Tim Jones (JAC)","3","4","30","10.0","20","1","0","0","0","0","0","7","3.0","0.4","0.1%"
"182","Jaelon Darden (CLE)","2","2","26","13.0","25","1","0","1","2","0","0","14","2.8","0.2","0.0%"
"183","Tyrie Cleveland (PHI)","2","7","28","14.0","16","0","0","0","0","0","0","5","2.8","0.6","0.0%"
"184","DJ Turner (LV)","0","1","0","0","0","0","0","4","26","0","0","6","2.6","0.4","0.0%"
"185","Daylen Baldwin (CLE)","2","2","25","12.5","15","0","0","0","0","0","0","1","2.5","2.5","0.0%"
"186","Simi Fehoko (DAL)","3","4","24","8.0","12","0","0","0","0","0","0","3","2.4","0.8","0.1%"
"187","Dareke Young (SEA)","2","2","24","12.0","12","0","0","0","0","0","0","7","2.4","0.3","0.1%"
"188","Dezmon Patmon (BUF)","2","6","24","12.0","17","0","0","0","0","0","0","1","2.4","2.4","0.0%"
"189","Andy Isabella (BAL)","2","5","21","10.5","11","0","0","1","1","0","0","4","2.2","0.6","0.0%"
"190","Cade Johnson (SEA)","2","4","21","10.5","11","0","0","0","0","0","0","2","2.1","1.1","0.1%"
"191","Pharoh Cooper (FA)","2","2","6","3.0","3","0","0","4","15","0","0","5","2.1","0.4","0.0%"
"192","Lil'Jordan Humphrey (DEN)","2","4","20","10.0","11","0","0","0","0","0","0","4","2.0","0.5","0.0%"
"193","Penny Hart (ATL)","3","4","20","6.7","15","0","0","0","0","0","0","3","2.0","0.7","0.0%"
"194","Danny Gray (SF)","1","7","10","10.0","10","0","0","1","9","0","0","7","1.9","0.3","0.2%"
"195","Keith Kirkwood (NO)","2","4","18","9.0","14","0","0","0","0","0","0","3","1.8","0.6","0.0%"
"196","Juwann Winfree (IND)","1","4","17","17.0","17","0","0","0","0","0","0","3","1.7","0.6","0.0%"
"197","Dennis Houston (DAL)","2","6","16","8.0","11","0","0","0","0","0","0","2","1.6","0.8","0.0%"
"198","Bryan Edwards (NO)","3","5","15","5.0","10","0","0","0","0","0","0","4","1.5","0.4","0.1%"
"199","Quintez Cephus (DET)","2","3","15","7.5","9","0","0","0","0","0","0","3","1.5","0.5","0.0%"
"200","Frank Darby (ATL)","1","1","15","15.0","15","0","0","0","0","0","0","1","1.5","1.5","0.1%"
"201","Nsimba Webster (CHI)","2","3","14","7.0","8","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"202","Austin Trammell (LAR)","2","4","13","6.5","8","0","0","0","0","0","0","2","1.3","0.7","0.0%"
"203","Jalen Tolbert (DAL)","2","3","12","6.0","8","0","0","0","0","0","0","3","1.2","0.4","0.7%"
"204","Montrell Washington (DEN)","4","9","2","0.5","4","0","0","5","30","0","1","15","1.2","0.1","0.1%"
"205","Miles Boykin (PIT)","2","3","11","5.5","11","0","0","0","0","0","0","10","1.1","0.1","0.1%"
"206","Tyron Johnson (DAL)","1","1","8","8.0","8","0","0","0","0","0","0","2","0.8","0.4","0.0%"
"207","Maurice Alexander (DET)","1","1","7","7.0","7","0","0","0","0","0","0","3","0.7","0.2","0.0%"
"208","Jalen Camp (HOU)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"209","C.J. Board (FA)","1","1","6","6.0","6","0","0","0","0","0","0","4","0.6","0.2","0.0%"
"210","Jason Moore Jr. (FA)","1","2","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.0%"
"211","Mason Kinsey (TEN)","1","1","3","3.0","3","0","0","0","0","0","0","2","0.3","0.2","0.0%"
"212","Erik Ezukanma (MIA)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.1%"
"213","Cody White (PIT)","1","1","2","2.0","2","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"214","Quinton Bell (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
