"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"316","Cephus Johnson III (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"317","Malik Knowles (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"318","Thayer Thomas (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"319","Jared Wayne (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"320","Grant DuBose (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"321","Jalen Brooks (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"322","Colton Dowell (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"323","Antoine Green (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"324","Matt Landers (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"325","Tyler Scott (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"326","Kazmeir Allen (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"327","Pokey Wilson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"328","Elijah Cooks (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"329","Shedrick Jackson (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"330","Thyrick Pitts (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"331","Aron Cruickshank (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"332","Johnny King (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"333","Zavier Scott (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"334","Jason Brownlee (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"335","Isaiah Winstead (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"336","T.J. Luther (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"337","Xavier Gipson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"338","Nikko Remigio (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"339","Josh Vann (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"340","Chase Cota (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"341","Mac Hippenhammer (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"342","Tyjon Lindsey (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"343","Oliver Martin (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"344","Tyler Hudson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"345","Xavier Smith (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"346","Brycen Tremayne (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"347","Jalen Sample (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"348","Zion Bowens (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"349","Xavier Malone (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"350","John Hall (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"351","Keilahn Harris (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"352","Daniel Arias (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"353","Duece Watts (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"354","Malik Heath (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"355","Britain Covey (PHI)","0","0","0","0","0","0","0","0","0","0","0","17","0.0","0.0","0.1%"
"356","Chris Blair (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"357","Cornell Powell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"358","Austin Watkins Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"359","John Metchie III (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.5%"
"360","Ty Fryfogle (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"361","Jayden Reed (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.5%"
"362","Ronnie Bell (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"363","Rakim Jarrett (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"364","Kayshon Boutte (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"365","Zay Flowers (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56.5%"
"366","Jacob Copeland (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"367","Kearis Jackson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"368","Slade Bolden (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"369","Emeka Emezie (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"370","Dontario Drummond (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"371","Joseph Ngata (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"372","Calvin Austin III (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"373","C.J. Saunders (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"374","Kaylon Geiger Sr. (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"375","Johnny Johnson III (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"376","Kalil Pimpleton (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"377","Stanley Berryhill III (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"378","Tanner Conner (MIA)","0","3","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"379","Tay Martin (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"380","Bo Melton (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"381","Justin Shorter (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"382","Taye Barber (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"383","Jadon Haselwood (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"384","Rashee Rice (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.8%"
"385","Jordan Addison (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80.8%"
"386","Parker Washington (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"387","Marvin Mims Jr. (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.1%"
"388","Quentin Johnston (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65.0%"
"389","Jerrion Ealy (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"390","Jonathan Mingo (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.3%"
"391","Makai Polk (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"392","Kevin Austin Jr. (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"393","Jaxon Smith-Njigba (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84.8%"
"394","Jacob Harris (JAC)","1","1","6","6.0","6","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"395","Tre Nixon (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"396","Kawaan Baker (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"397","Brandon Smith (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"398","Blake Proehl (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"399","Puka Nacua (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"400","Josh Gordon (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"401","Eron Riley (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"402","Demario Ballard (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"403","Patrick Edwards (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"404","Albert Wilson (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"405","Odell Beckham Jr. (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85.7%"
"406","Maurice Purify (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"407","Matthew Slater (NE)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.1%"
"408","Marko Mitchell (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"409","Kenny McKinley (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"410","Lance Long (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"411","Bobby Wade (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"412","Chris Henry (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"413","Mike Furrey (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"414","Onrea Jones (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"415","Taj Smith (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"416","Rod Harper (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"417","Sam Giguere (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"418","Nate Hughes (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"419","Andre Roberts (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"420","Tanner Gentry (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"421","Tim Patrick (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.6%"
"422","Justin Hardee (NYJ)","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"423","Marcus Kemp (WAS)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"424","David Moore (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"425","Jaydon Mickens (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"426","John Ross (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"427","Marken Michel (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"428","Vyncint Smith (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"429","Chris Lacy (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"430","Daurice Fountain (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"431","Keke Coutee (NO)","1","1","20","20.0","20","1","0","0","0","0","1","7","0.0","0.0","0.0%"
"432","Greg Ward (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"433","James Washington (NO)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"434","Calvin Ridley (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94.8%"
"435","Marcell Ateman (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"436","Brandon Zylstra (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"437","Willie Snead IV (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"438","Ty Montgomery (NE)","3","4","15","5.0","7","0","1","2","-2","0","0","1","0.0","0.0","0.5%"
"439","Diontae Spencer (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"440","Jakeem Grant Sr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"441","Rashard Higgins (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"442","Alex Erickson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"443","Braylon Sanders (MIA)","2","3","17","8.5","13","0","0","0","0","0","1","2","-0.3","-0.2","0.0%"
"444","Ihmir Smith-Marsette (KC)","1","4","15","15.0","15","0","0","1","-1","0","1","4","-0.6","-0.2","0.0%"
"445","Deonte Harty (BUF)","2","2","13","6.5","9","0","0","0","0","0","1","4","-0.7","-0.2","0.2%"
"446","KaVontae Turpin (DAL)","1","2","9","9.0","9","0","0","3","17","0","2","17","-1.4","-0.1","0.2%"
"447","Chester Rogers (FA)","0","0","0","0","0","0","0","0","0","0","1","3","-2.0","-0.7","0.0%"
""
""
